Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Comença pel final","Lluís Cabot","Periple estacionari","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","QM6P41850604","3lsL0wmrAT4FIBqYyvXSz7"
"Honey","Joan Miquel Oliver","Elektra","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES5301867859","6MeXxGeHVobj2k3E2sJWO8"
"La Canción Del Verano","OR (O-ERRA)","Focs Artificials","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES8572204401","2qMV5rRYKof93Sl3dFhI5X"
"Sempre t’estim","Xanguito","Bon Rotllo","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES71G2404717","4S8l05eSdxWNHPQxYPZ6Wl"
"Autonomia per principiants","Maria Jaume","Fins a maig no revisc","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES40B2000022","5OazScsRZcyT9t73t0pYHE"
"ALENAR","MARIA HEIN","ALENAR","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","QM7282411548","2IY2iIPh2rmKrQSjytrQ7H"
"Bomba de fum","Da Souza","Dies d'Attrezzo","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES40B2200030","7ublaNwsXi8j0N9IyS4cLA"
"Saps les Meves Eines","Miquel Serra","L'Elegància Dorm","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES42G1900018","6Lf1p3PLrN5Ep7YBQCVrq2"
"En Veu Baixa","OR (O-ERRA)","En Veu Baixa","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES8571972502","6hPafokbNmztZOfaluCjKy"
"Com un Mallorquina","Ocults","Bàsic","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES8570747304","6qSH2QLXCaKMFe4RrkDGcD"
"Milions D'Estrelles","Xanguito","Milions D'Estrelles","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES17D2001024","2LAuBXg68LrTDr9UGKmybm"
"Finestres en pont","Verlaat","Finestres en pont","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","QZHNA2288338","38xn7ZSPwSgr1b6Onpbukg"
"Fuig i no me toquis","Maria Jaume","Fins a maig no revisc","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES40B2000028","3wDLyOiW5eR7byjoQyF9Zd"
"Amants perfectes","Antònia Font","Un minut estroboscòpica","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES66S2100071","3MK6JrPoWh5wJcjIJ3Hlxh"
"Diarro","Da Souza","Dies d'Attrezzo","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES40B2200026","0st6ip3KUlmuc7ET30ez1V"
"Dins un Avió de Paper","Joan Miquel Oliver","Bombon Mallorquin","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES8570752509","4PBQzIWGIat0ibKAINrUjd"
"En Voler","Projecte Mut","Corda I Poal","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES5061202003","1EfhnavykuT0BCIPICirRK"
"Respirar","OR (O-ERRA)","IMAGINARI","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES8572177305","5tTjmDHaL5gE8awSl7PPvp"
"Wa Yeah!","Antònia Font","Batiscafo Katiuscas","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES5300611819","0BPIknt0SyI873a6N5QDBI"
"Idò un cafè","MARIA HEIN","Idò un cafè","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ESA011851038","3rpx7uAwdYh4ZSy9CjR2Qh"
"Continent i contingut","MARIA HEIN","Continent i contingut","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES97D2109206","3nhMlEdjsE5LsLmqUOzoJb"
"Dies Bons","Reïna","Arts Marcials","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES17D2101485","5wrzGJf5M6EUhy0ysIb0cm"
"Flors de Cactus","Joan Miquel Oliver","Pegasus","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES55G1500029","7paQQhiMOQ1QkUpO6ijWAc"
"OooOooo♡oooOooO","Xanguito","Bon Rotllo","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES11D2300916","4x9oyKpTpFP2RNGhNeau14"
"Un Minut Estroboscòpica","Antònia Font","Un minut estroboscòpica","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES66S2100068","2tqVxiv5vBHs8bT83VisSJ"
"Flors","Reïna","Retirada a temps","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES40B2300051","4rR9uT8upHDXphKdcZp07p"
"DISCUSSIONS AMB ES CERVELL","Plan-ET","Kepler-454","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","QM4TX2290662","2ED89rJ7Civ9ee7nT0a5aO"
"Ma Mare i Jo","Miquel Serra","Antiga Hodomura","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES42G1700130","5UMYWErnuolU3Q2ttByPna"
"Dois","Reïna","Arts Marcials","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES17D2101481","4hrksoSURvT4pGQHX64XSW"
"FIU FIUUU","MARIA HEIN","TOT ALLÒ QUE NO SAP NINGÚ","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES97D2311203","6UQzXHvkNeUbSUR21E87ew"
"En s'estiu","Antònia Font","Antònia Font","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES8570732605","5dpoGuFGb01syYB4ZXcgk8"
"Padrins","Miquel Serra","El Perfum dels Vegetals","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES42G1400071","6fOxI2aeMLOlCwnbudh3EW"
"Això és Mel","OR (O-ERRA)","Carretera i Manta","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES8571871102","2AHAPLvz8II4V2gM06IIGE"
"Dolent","Reïna","Retirada a temps","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES40B2300052","7hwJRX6QCi5n6girACwTtP"
"Per Primera Vegada","OR (O-ERRA)","En Veu Baixa","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES8571972507","6jcCbaswmzZQcHUsevQi6s"
"Viatjarem","Xanguito","Milions D'Estrelles","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES17D2001010","12yMxz1jxHhsxS0DPQcUFl"
"Diga'm Què he de Fer (Perquè m'Estimis)","OR (O-ERRA)","En Veu Baixa","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES8571972504","0P0UDRBjSwy4UgxAaUFN9H"
"Batiscafo Katiuscas","Antònia Font","Batiscafo Katiuscas","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES5300611818","0p22isB9cvNajvi63OtYf8"
"EUFÒRIA","Xanguito","EUFÒRIA","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES11D2200742","3isT4Kct8HKzoV0nmDJvmt"
"Per la Dreta","OR (O-ERRA)","IMAGINARI","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES8572177404","6vKNRIvBaSHLD2aGynd5Ss"
"L'Elegància Dorm","Miquel Serra","L'Elegància Dorm","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES42G1900012","3o4j0poTX1XpBRmW571G7Z"
"Es missatge és clar","Anegats","Illenc","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES8570737903","620jpzEDYSqPOwBTnWaqfc"
"Encara És Prest","Xanguito","Beix","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES17D1700267","7zloYc5SIOLQstbv69AdlA"
"C'est la vie","Pèl De Gall","C'est la vie","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES80A2217503","2kpMC0gOALY2Zpk8tleeiD"
"Tramuntana","Anegats","Mons Diferents","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES8570740702","6vooRekzb25vJEoSJIaNaI"
"Maldecap","Reïna","Retirada a temps","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES40B2300054","0kjLKeYseuuLZjUS1qnAXE"
"Me Sobren Paraules","Antònia Font","Lamparetes","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES21I1100001","0HHuNEwFNbbbSWEKn8FAkk"
"RIURE","Xanguito","EUFÒRIA","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES11D2200764","3V5SCEsWa6kwlFdSWiMSOl"
"Tic Tac","Anegats","Prova i Error","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES8570759308","7lL7KPX3BJAqWyxe1QwdNE"
"MINIFALDA","FADES","METALLIX","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","QZHN72412048","2thc9019UnrqHsj3wFXgCM"
